id_pilar,coord_x,coord_y,coord_z,pillar_area,geom_sing,geol_units_count,soft_veins_freq,traction_resist,strain_modulus,main_faults_count,xy_shear_strain,xz_shear_strain,yz_shear_strain,z_axis_pm_stress,z_axis_tz_stress,tz_exposure,seismic_density,extraction_rate,avg_drawpoint_height,collapse_flag
49,184.84493772259475,1226.1264236574384,1263,286.5643,0,1,3.07,0.184,13.13,1,9.886106843373493e-05,6.194813108433734e-05,2.332787722891566e-05,9.182778,37.12546694435349,3.0,90.30396466445498,124.601,265,0
50,198.7024821032531,1257.8767945928794,1263,286.5643,0,1,3.07,0.184,13.13,0,7.495527132530119e-05,6.831303277108433e-05,1.281291954819277e-05,9.753792,39.24831959280445,3.3333333333333335,79.6507184702303,125.754,266,0
51,212.56002648391149,1289.6271655283203,1263,286.5643,0,1,3.07,0.184,13.13,0,3.957403295180723e-05,8.393533855421686e-05,3.4337487951807224e-07,9.888792,39.89982730018782,3.3333333333333335,81.74639715192039,128.909,268,0
52,226.41757086456988,1321.377536463761,1263,286.5643,0,1,3.07,0.184,13.13,0,2.9943143034785543e-06,0.0001117874461445783,4.1029676686746984e-05,10.398389,39.435102922038865,3.3333333333333335,69.53048416382728,129.034,271,0
53,240.27511524522828,1353.1279073992018,1263,286.5643,0,1,3.07,0.184,13.13,0,1.5831629487951807e-05,0.00015256621807228915,0.00011392854614457832,12.18624,48.69983426750072,3.3333333333333335,55.319344950986896,128.042,275,0
54,254.13265962588667,1384.8782783346428,1263,286.5643,0,1,3.07,0.184,13.13,0,9.767812409638555e-06,0.00019137172819277105,0.0002159385301204819,17.37176,69.15224864394183,25.666666666666668,49.052670537954306,129.443,273,0
55,124.46885672202876,1055.2941838025647,1263,286.5643,0,1,1.02,0.245,15.47,1,0.0001405368269879518,5.0115839819277106e-05,0.00010748895253012048,12.591557,49.485646131337575,23.333333333333332,69.87420455729111,126.339,271,0
56,138.32648770522752,1087.0445047380056,1263,286.5643,0,1,1.0815,0.24317,15.3998,1,0.00013937097734939758,8.992929593373494e-06,6.0017157710843366e-05,9.647094,39.03102454565091,1.3333333333333333,83.96070769705904,126.606,270,0
57,152.18411868842628,1118.7948256734464,1263,286.5643,0,3,3.07,0.184,13.13,1,0.00015132992099160946,2.5642584043668957e-05,5.0995857543859655e-05,9.338479,37.90186437893523,1.3333333333333333,95.66437536709664,125.792,269,0
58,166.04174967162504,1150.5451466088873,1263,286.5643,0,4,2.83,0.1945,13.477,1,0.00014561957410027206,4.7546102448503696e-05,4.2759728254955304e-05,9.717722,40.22716060551648,1.6666666666666667,97.91870731714731,122.883,268,1
59,179.8993806548238,1182.2954675443282,1263,286.5643,0,2,1.03,0.27325,16.079500000000003,1,0.00012603873414575865,5.2118675268817206e-05,3.271083221027479e-05,9.812729,39.4406099191789,2.0,95.65927823515283,121.463,267,1
60,193.7570116380225,1214.045788479769,1263,286.5643,0,1,3.07,0.184,13.13,1,0.00010889927253012048,6.407436325301204e-05,1.7774955361445783e-05,9.394438,37.617004801552554,3.3333333333333335,85.59479558159116,124.664,266,1
61,207.61464262122126,1245.79610941521,1263,286.5643,0,1,3.07,0.184,13.13,0,8.80736887951807e-05,6.357650771084337e-05,1.3745143780120481e-05,9.803592,39.53000863305126,3.3333333333333335,75.52144391783754,126.437,267,0
62,221.47227360442002,1277.5464303506508,1263,286.5643,0,1,3.07,0.184,13.13,0,5.541597548192771e-05,7.575756831325301e-05,1.5613536803478554e-08,10.009258,40.35056109555399,3.6666666666666665,70.40080570855372,129.408,268,0
63,235.32990458761878,1309.2967512860916,1263,286.5643,0,1,3.07,0.184,13.13,0,2.7726131566265056e-05,9.534449927710843e-05,2.9513508734939754e-05,10.368793,42.056884416412196,3.3333333333333335,64.31151096055571,131.412,272,0
64,249.1875355708175,1341.0470722215325,1263,286.5643,0,1,3.07,0.184,13.13,0,1.491834189759036e-05,0.00012055625493975902,7.374269421686746e-05,11.35435,44.73489706621744,3.6666666666666665,54.410185989075245,132.087,278,0
65,263.04516655401625,1372.7973931569734,1263,286.5643,0,1,3.07,0.184,13.13,0,2.2249204307228914e-05,0.00016497863036144577,0.00014778650795180723,14.323914,56.547278018831676,25.666666666666668,48.57948282215098,132.358,278,0
66,133.38058422729517,1043.213748624895,1263,248.9047,1,2,0.855,0.28,16.450000000000003,1,0.000179196707112628,4.926440530716724e-05,0.0001231348444368601,12.53683,49.79183471048158,23.333333333333332,63.23541508468472,125.212,273,0
67,147.23821521049376,1074.9640695603357,1263,286.5643,0,1,1.0002,0.2492,15.5876,1,0.00014602647421686746,1.5513621054216865e-05,6.218890469879518e-05,9.877392,38.878517199705826,23.333333333333332,74.16204951243559,127.386,271,0
68,161.09584619369235,1106.7143904957763,1263,248.9047,1,1,2.8042000000000002,0.19552000000000003,13.528400000000001,1,0.00014989591734939758,1.7480736927710842e-05,4.921168018072289e-05,9.467156,38.426716425274925,1.3333333333333333,85.24678579227385,126.951,270,0
69,174.95347717689094,1138.4647114312172,1263,286.5643,0,3,3.07,0.184,13.13,1,0.00013947871273243433,3.868264028388928e-05,3.8423006955287435e-05,9.780174,39.7092113778942,1.6666666666666667,88.31887013859794,124.219,269,0
70,188.81110816008953,1170.2150323666579,1263,248.9047,1,1,3.07,0.184,13.13,1,0.00013472370337349395,4.948877451807229e-05,3.265812855421687e-05,9.96433,40.03520375476972,1.6666666666666667,88.52868444348974,121.433,268,1
71,202.66873914328812,1201.9653533020985,1263,286.5643,0,1,3.07,0.184,13.13,1,0.00011688061542168673,6.060771120481927e-05,1.7669241626506024e-05,9.417642,37.78070314073721,2.0,80.4348182884879,124.126,267,1
